Sample,Target,Cq,Replicate
Control,Target_AllAbsent,Undetermined,R2
Control,Target_HighCq,38.76,R2
Control,Target_HighCq,38.88,R2
Control,Target_HighCq,39.00,R2
Treatment_A,ACTB,>40,R2
Treatment_A,ACTB,20.95,R2
Treatment_A,ACTB,21.07,R2
Treatment_A,TBP,21.73,R2
Treatment_A,TBP,21.85,R2
Treatment_A,TBP,21.97,R2
Treatment_A,Target_Stable,26.86,R2
Treatment_A,Target_Stable,26.98,R2
Treatment_A,Target_Stable,27.10,R2
Treatment_A,Target_Induced_A,25.86,R2
Treatment_A,Target_Induced_A,25.98,R2
Treatment_A,Target_Induced_A,26.10,R2
Treatment_A,Target_Repressed_B,27.36,R2
Treatment_A,Target_Repressed_B,27.48,R2
Treatment_A,Target_Repressed_B,27.60,R2
Treatment_A,Target_Graded,28.36,R2
Treatment_A,Target_Graded,28.48,R2
Treatment_A,Target_Graded,28.60,R2
Treatment_A,Target_TechCensor,29.86,R2
Treatment_A,Target_TechCensor,29.98,R2
Treatment_A,Target_TechCensor,No Ct,R2
Treatment_A,Target_BioCensor,30.36,R2
Treatment_A,Target_BioCensor,30.48,R2
Treatment_A,Target_BioCensor,30.60,R2
Treatment_A,Target_ReferenceCensor,30.86,R2
Treatment_A,Target_ReferenceCensor,30.98,R2
Treatment_A,Target_ReferenceCensor,31.10,R2
Treatment_A,Target_SampleAbsent,31.36,R2
Treatment_A,Target_SampleAbsent,31.48,R2
Treatment_A,Target_SampleAbsent,31.60,R2
Treatment_A,Target_TwoSamplesAbsent,31.86,R2
Treatment_A,Target_TwoSamplesAbsent,31.98,R2
Treatment_A,Target_TwoSamplesAbsent,32.10,R2
Treatment_A,Target_AllAbsent,Undetermined,R2
Treatment_A,Target_AllAbsent,Undetermined,R2
Treatment_A,Target_AllAbsent,Undetermined,R2
Treatment_A,Target_HighCq,39.06,R2
Treatment_A,Target_HighCq,39.18,R2
Treatment_A,Target_HighCq,39.30,R2
Treatment_B,ACTB,20.33,R2
Treatment_B,ACTB,20.45,R2
Treatment_B,ACTB,20.57,R2
Treatment_B,TBP,21.23,R2
Treatment_B,TBP,21.35,R2
Treatment_B,TBP,21.47,R2
Treatment_B,Target_Stable,26.36,R2
Treatment_B,Target_Stable,26.48,R2
Treatment_B,Target_Stable,26.60,R2
Treatment_B,Target_Induced_A,28.36,R2
Treatment_B,Target_Induced_A,28.48,R2
Treatment_B,Target_Induced_A,28.60,R2
Treatment_B,Target_Repressed_B,29.86,R2
Treatment_B,Target_Repressed_B,29.98,R2
Treatment_B,Target_Repressed_B,30.10,R2
Treatment_B,Target_Graded,26.86,R2
Treatment_B,Target_Graded,26.98,R2
Treatment_B,Target_Graded,27.10,R2
Treatment_B,Target_TechCensor,29.36,R2
Treatment_B,Target_TechCensor,29.48,R2
Treatment_B,Target_TechCensor,29.60,R2
Treatment_B,Target_BioCensor,29.86,R2
Treatment_B,Target_BioCensor,29.98,R2
Treatment_B,Target_BioCensor,30.10,R2
Treatment_B,Target_ReferenceCensor,30.36,R2
Treatment_B,Target_ReferenceCensor,30.48,R2
Treatment_B,Target_ReferenceCensor,30.60,R2
Treatment_B,Target_SampleAbsent,30.86,R2
Treatment_B,Target_SampleAbsent,30.98,R2
Treatment_B,Target_SampleAbsent,31.10,R2
Treatment_B,Target_TwoSamplesAbsent,No Ct,R2
Treatment_B,Target_TwoSamplesAbsent,No Ct,R2
Treatment_B,Target_TwoSamplesAbsent,No Ct,R2
Treatment_B,Target_AllAbsent,Undetermined,R2
Treatment_B,Target_AllAbsent,Undetermined,R2
Treatment_B,Target_AllAbsent,Undetermined,R2
Treatment_B,Target_HighCq,38.56,R2
Treatment_B,Target_HighCq,38.68,R2
Treatment_B,Target_HighCq,38.80,R2
Treatment_C,ACTB,20.68,R2
Treatment_C,ACTB,20.80,R2
Treatment_C,ACTB,20.92,R2
Treatment_C,TBP,21.58,R2
Treatment_C,TBP,21.70,R2
Treatment_C,TBP,21.82,R2
Treatment_C,Target_Stable,26.71,R2
Treatment_C,Target_Stable,26.83,R2
Treatment_C,Target_Stable,26.95,R2
Treatment_C,Target_Induced_A,28.71,R2
Treatment_C,Target_Induced_A,28.83,R2
Treatment_C,Target_Induced_A,28.95,R2
Treatment_C,Target_Repressed_B,27.21,R2
Treatment_C,Target_Repressed_B,27.33,R2
Treatment_C,Target_Repressed_B,27.45,R2
Treatment_C,Target_Graded,26.21,R2
Treatment_C,Target_Graded,26.33,R2
Treatment_C,Target_Graded,26.45,R2
Treatment_C,Target_TechCensor,29.71,R2
Treatment_C,Target_TechCensor,29.83,R2
Treatment_C,Target_TechCensor,29.95,R2
Treatment_C,Target_BioCensor,30.21,R2
Treatment_C,Target_BioCensor,30.33,R2
Treatment_C,Target_BioCensor,30.45,R2
Treatment_C,Target_ReferenceCensor,30.71,R2
Treatment_C,Target_ReferenceCensor,30.83,R2
Treatment_C,Target_ReferenceCensor,30.95,R2
Treatment_C,Target_SampleAbsent,Undetermined,R2
Treatment_C,Target_SampleAbsent,Undetermined,R2
Treatment_C,Target_SampleAbsent,Undetermined,R2
Treatment_C,Target_TwoSamplesAbsent,No Ct,R2
Treatment_C,Target_TwoSamplesAbsent,No Ct,R2
Treatment_C,Target_TwoSamplesAbsent,No Ct,R2
Treatment_C,Target_AllAbsent,Undetermined,R2
Treatment_C,Target_AllAbsent,Undetermined,R2
Treatment_C,Target_AllAbsent,Undetermined,R2
Treatment_C,Target_HighCq,38.91,R2
Treatment_C,Target_HighCq,39.03,R2
Treatment_C,Target_HighCq,39.15,R2
Control,ACTB,20.38,R3
Control,ACTB,20.50,R3
Control,ACTB,20.62,R3
Control,TBP,21.28,R3
Control,TBP,21.40,R3
Control,TBP,21.52,R3
Control,Target_Stable,26.27,R3
Control,Target_Stable,26.39,R3
Control,Target_Stable,26.51,R3
Control,Target_Induced_A,28.27,R3
Control,Target_Induced_A,28.39,R3
Control,Target_Induced_A,28.51,R3
Control,Target_Repressed_B,26.77,R3
Control,Target_Repressed_B,26.89,R3
Control,Target_Repressed_B,27.01,R3
Control,Target_Graded,28.77,R3
Control,Target_Graded,28.89,R3
Control,Target_Graded,29.01,R3
Control,Target_TechCensor,29.27,R3
Control,Target_TechCensor,29.39,R3
Control,Target_TechCensor,29.51,R3
Control,Target_BioCensor,29.77,R3
Control,Target_BioCensor,29.89,R3
Control,Target_BioCensor,30.01,R3
Control,Target_ReferenceCensor,30.27,R3
Control,Target_ReferenceCensor,30.39,R3
Control,Target_ReferenceCensor,30.51,R3
Control,Target_SampleAbsent,30.77,R3
Control,Target_SampleAbsent,30.89,R3
Control,Target_SampleAbsent,31.01,R3
Control,Target_TwoSamplesAbsent,31.27,R3
Control,Target_TwoSamplesAbsent,31.39,R3
Control,Target_TwoSamplesAbsent,31.51,R3
Control,Target_AllAbsent,Undetermined,R3
Control,Target_AllAbsent,Undetermined,R3
Control,Target_AllAbsent,Undetermined,R3
Control,Target_HighCq,38.62,R3
Control,Target_HighCq,38.74,R3
Control,Target_HighCq,38.86,R3
Treatment_A,ACTB,20.68,R3
Treatment_A,ACTB,20.80,R3
Treatment_A,ACTB,20.92,R3
Treatment_A,TBP,21.58,R3
Treatment_A,TBP,21.70,R3
Treatment_A,TBP,21.82,R3
Treatment_A,Target_Stable,26.57,R3
Treatment_A,Target_Stable,26.69,R3
Treatment_A,Target_Stable,26.81,R3
Treatment_A,Target_Induced_A,25.57,R3
Treatment_A,Target_Induced_A,25.69,R3
Treatment_A,Target_Induced_A,25.81,R3
Treatment_A,Target_Repressed_B,27.07,R3
Treatment_A,Target_Repressed_B,27.19,R3
Treatment_A,Target_Repressed_B,27.31,R3
Treatment_A,Target_Graded,28.07,R3
Treatment_A,Target_Graded,28.19,R3
Treatment_A,Target_Graded,28.31,R3
Treatment_A,Target_TechCensor,29.57,R3
Treatment_A,Target_TechCensor,29.69,R3
Treatment_A,Target_TechCensor,29.81,R3
Treatment_A,Target_BioCensor,30.07,R3
Treatment_A,Target_BioCensor,30.19,R3
Treatment_A,Target_BioCensor,30.31,R3
Treatment_A,Target_ReferenceCensor,30.57,R3
Treatment_A,Target_ReferenceCensor,30.69,R3
Treatment_A,Target_ReferenceCensor,30.81,R3
Treatment_A,Target_SampleAbsent,31.07,R3
Treatment_A,Target_SampleAbsent,31.19,R3
Treatment_A,Target_SampleAbsent,31.31,R3
Treatment_A,Target_TwoSamplesAbsent,31.57,R3
Treatment_A,Target_TwoSamplesAbsent,31.69,R3
Treatment_A,Target_TwoSamplesAbsent,31.81,R3
Treatment_A,Target_AllAbsent,Undetermined,R3
Treatment_A,Target_AllAbsent,Undetermined,R3
Treatment_A,Target_AllAbsent,Undetermined,R3
Treatment_A,Target_HighCq,38.92,R3
Treatment_A,Target_HighCq,39.04,R3
Treatment_A,Target_HighCq,39.16,R3
Treatment_B,ACTB,20.18,R3
Treatment_B,ACTB,20.30,R3
Treatment_B,ACTB,20.42,R3
Treatment_B,TBP,21.08,R3
Treatment_B,TBP,21.20,R3
Treatment_B,TBP,21.32,R3
Treatment_B,Target_Stable,26.07,R3
Treatment_B,Target_Stable,26.19,R3
Treatment_B,Target_Stable,26.31,R3
Treatment_B,Target_Induced_A,28.07,R3
Treatment_B,Target_Induced_A,28.19,R3
Treatment_B,Target_Induced_A,28.31,R3
Treatment_B,Target_Repressed_B,29.57,R3
Treatment_B,Target_Repressed_B,29.69,R3
Treatment_B,Target_Repressed_B,29.81,R3
Treatment_B,Target_Graded,26.57,R3
Treatment_B,Target_Graded,26.69,R3
Treatment_B,Target_Graded,26.81,R3
Treatment_B,Target_TechCensor,29.07,R3
Treatment_B,Target_TechCensor,29.19,R3
Treatment_B,Target_TechCensor,29.31,R3
Treatment_B,Target_BioCensor,Undetermined,R3
Treatment_B,Target_BioCensor,Undetermined,R3
Treatment_B,Target_BioCensor,Undetermined,R3
Treatment_B,Target_ReferenceCensor,30.07,R3
Treatment_B,Target_ReferenceCensor,30.19,R3
Treatment_B,Target_ReferenceCensor,30.31,R3
Treatment_B,Target_SampleAbsent,30.57,R3
Treatment_B,Target_SampleAbsent,30.69,R3
Treatment_B,Target_SampleAbsent,30.81,R3
Treatment_B,Target_TwoSamplesAbsent,No Ct,R3
Treatment_B,Target_TwoSamplesAbsent,No Ct,R3
Treatment_B,Target_TwoSamplesAbsent,No Ct,R3
Treatment_B,Target_AllAbsent,Undetermined,R3
Treatment_B,Target_AllAbsent,Undetermined,R3
Treatment_B,Target_AllAbsent,Undetermined,R3
Treatment_B,Target_HighCq,38.42,R3
Treatment_B,Target_HighCq,38.54,R3
Treatment_B,Target_HighCq,38.66,R3
Treatment_C,ACTB,20.53,R3
Treatment_C,ACTB,20.65,R3
Treatment_C,ACTB,20.77,R3
Treatment_C,TBP,21.43,R3
Treatment_C,TBP,21.55,R3
Treatment_C,TBP,21.67,R3
Treatment_C,Target_Stable,26.42,R3
Treatment_C,Target_Stable,26.54,R3
Treatment_C,Target_Stable,26.66,R3
Treatment_C,Target_Induced_A,28.42,R3
Treatment_C,Target_Induced_A,28.54,R3
Treatment_C,Target_Induced_A,28.66,R3
Treatment_C,Target_Repressed_B,26.92,R3
Treatment_C,Target_Repressed_B,27.04,R3
Treatment_C,Target_Repressed_B,27.16,R3
Treatment_C,Target_Graded,25.92,R3
Treatment_C,Target_Graded,26.04,R3
Treatment_C,Target_Graded,26.16,R3
Treatment_C,Target_TechCensor,29.42,R3
Treatment_C,Target_TechCensor,29.54,R3
Treatment_C,Target_TechCensor,29.66,R3
Treatment_C,Target_BioCensor,29.92,R3
Treatment_C,Target_BioCensor,30.04,R3
Treatment_C,Target_BioCensor,30.16,R3
Treatment_C,Target_ReferenceCensor,30.42,R3
Treatment_C,Target_ReferenceCensor,30.54,R3
Treatment_C,Target_ReferenceCensor,30.66,R3
Treatment_C,Target_SampleAbsent,Undetermined,R3
Treatment_C,Target_SampleAbsent,Undetermined,R3
Treatment_C,Target_SampleAbsent,Undetermined,R3
Treatment_C,Target_TwoSamplesAbsent,No Ct,R3
Treatment_C,Target_TwoSamplesAbsent,No Ct,R3
Treatment_C,Target_TwoSamplesAbsent,No Ct,R3
Treatment_C,Target_AllAbsent,Undetermined,R3
Treatment_C,Target_AllAbsent,Undetermined,R3
Treatment_C,Target_AllAbsent,Undetermined,R3
Treatment_C,Target_HighCq,38.77,R3
Treatment_C,Target_HighCq,38.89,R3
Treatment_C,Target_HighCq,39.01,R3
Control,ACTB,20.55,R4
Control,ACTB,20.67,R4
Control,ACTB,20.79,R4
Control,TBP,21.45,R4
Control,TBP,21.57,R4
Control,TBP,21.69,R4
Control,Target_Stable,26.64,R4
Control,Target_Stable,26.76,R4
Control,Target_Stable,26.88,R4
Control,Target_Induced_A,28.64,R4
Control,Target_Induced_A,28.76,R4
Control,Target_Induced_A,28.88,R4
Control,Target_Repressed_B,27.14,R4
Control,Target_Repressed_B,27.26,R4
Control,Target_Repressed_B,27.38,R4
Control,Target_Graded,29.14,R4
Control,Target_Graded,29.26,R4
Control,Target_Graded,29.38,R4
Control,Target_TechCensor,29.64,R4
Control,Target_TechCensor,29.76,R4
Control,Target_TechCensor,29.88,R4
Control,Target_BioCensor,30.14,R4
Control,Target_BioCensor,30.26,R4
Control,Target_BioCensor,30.38,R4
Control,Target_ReferenceCensor,>40,R4
Control,Target_ReferenceCensor,>40,R4
Control,Target_ReferenceCensor,>40,R4
Control,Target_SampleAbsent,31.14,R4
Control,Target_SampleAbsent,31.26,R4
Control,Target_SampleAbsent,31.38,R4
Control,Target_TwoSamplesAbsent,31.64,R4
Control,Target_TwoSamplesAbsent,31.76,R4
Control,Target_TwoSamplesAbsent,31.88,R4
Control,Target_AllAbsent,Undetermined,R4
Control,Target_AllAbsent,Undetermined,R4
Control,Target_AllAbsent,Undetermined,R4
Control,Target_HighCq,38.82,R4
Control,Target_HighCq,38.94,R4
Control,Target_HighCq,39.06,R4
Treatment_A,ACTB,20.85,R4
Treatment_A,ACTB,20.97,R4
Treatment_A,ACTB,21.09,R4
Treatment_A,TBP,21.75,R4
Treatment_A,TBP,21.87,R4
Treatment_A,TBP,21.99,R4
Treatment_A,Target_Stable,26.94,R4
Treatment_A,Target_Stable,27.06,R4
Treatment_A,Target_Stable,27.18,R4
Treatment_A,Target_Induced_A,25.94,R4
Treatment_A,Target_Induced_A,26.06,R4
Treatment_A,Target_Induced_A,26.18,R4
Treatment_A,Target_Repressed_B,27.44,R4
Treatment_A,Target_Repressed_B,27.56,R4
Treatment_A,Target_Repressed_B,27.68,R4
Treatment_A,Target_Graded,28.44,R4
Treatment_A,Target_Graded,28.56,R4
Treatment_A,Target_Graded,28.68,R4
Treatment_A,Target_TechCensor,29.94,R4
Treatment_A,Target_TechCensor,30.06,R4
Treatment_A,Target_TechCensor,30.18,R4
Treatment_A,Target_BioCensor,30.44,R4
Treatment_A,Target_BioCensor,30.56,R4
Treatment_A,Target_BioCensor,30.68,R4
Treatment_A,Target_ReferenceCensor,30.94,R4
Treatment_A,Target_ReferenceCensor,31.06,R4
Treatment_A,Target_ReferenceCensor,31.18,R4
Treatment_A,Target_SampleAbsent,31.44,R4
Treatment_A,Target_SampleAbsent,31.56,R4
Treatment_A,Target_SampleAbsent,31.68,R4
Treatment_A,Target_TwoSamplesAbsent,31.94,R4
Treatment_A,Target_TwoSamplesAbsent,32.06,R4
Treatment_A,Target_TwoSamplesAbsent,32.18,R4
Treatment_A,Target_AllAbsent,Undetermined,R4
Treatment_A,Target_AllAbsent,Undetermined,R4
Treatment_A,Target_AllAbsent,Undetermined,R4
Treatment_A,Target_HighCq,39.12,R4
Treatment_A,Target_HighCq,39.24,R4
Treatment_A,Target_HighCq,39.36,R4
Treatment_B,ACTB,20.35,R4
Treatment_B,ACTB,20.47,R4
Treatment_B,ACTB,20.59,R4
Treatment_B,TBP,Undetermined,R4
Treatment_B,TBP,Undetermined,R4
Treatment_B,TBP,Undetermined,R4
Treatment_B,Target_Stable,26.44,R4
Treatment_B,Target_Stable,26.56,R4
Treatment_B,Target_Stable,26.68,R4
Treatment_B,Target_Induced_A,28.44,R4
Treatment_B,Target_Induced_A,28.56,R4
Treatment_B,Target_Induced_A,28.68,R4
Treatment_B,Target_Repressed_B,29.94,R4
Treatment_B,Target_Repressed_B,30.06,R4
Treatment_B,Target_Repressed_B,30.18,R4
Treatment_B,Target_Graded,26.94,R4
Treatment_B,Target_Graded,27.06,R4
Treatment_B,Target_Graded,27.18,R4
Treatment_B,Target_TechCensor,29.44,R4
Treatment_B,Target_TechCensor,29.56,R4
Treatment_B,Target_TechCensor,29.68,R4
Treatment_B,Target_BioCensor,29.94,R4
Treatment_B,Target_BioCensor,30.06,R4
Treatment_B,Target_BioCensor,30.18,R4
Treatment_B,Target_ReferenceCensor,30.44,R4
Treatment_B,Target_ReferenceCensor,30.56,R4
Treatment_B,Target_ReferenceCensor,30.68,R4
Treatment_B,Target_SampleAbsent,30.94,R4
Treatment_B,Target_SampleAbsent,31.06,R4
Treatment_B,Target_SampleAbsent,31.18,R4
Treatment_B,Target_TwoSamplesAbsent,No Ct,R4
Treatment_B,Target_TwoSamplesAbsent,No Ct,R4
Treatment_B,Target_TwoSamplesAbsent,No Ct,R4
Treatment_B,Target_AllAbsent,Undetermined,R4
Treatment_B,Target_AllAbsent,Undetermined,R4
Treatment_B,Target_AllAbsent,Undetermined,R4
Treatment_B,Target_HighCq,38.62,R4
Treatment_B,Target_HighCq,38.74,R4
Treatment_B,Target_HighCq,38.86,R4
Treatment_C,ACTB,20.70,R4
Treatment_C,ACTB,20.82,R4
Treatment_C,ACTB,20.94,R4
Treatment_C,TBP,21.60,R4
Treatment_C,TBP,21.72,R4
Treatment_C,TBP,21.84,R4
Treatment_C,Target_Stable,26.79,R4
Treatment_C,Target_Stable,26.91,R4
Treatment_C,Target_Stable,27.03,R4
Treatment_C,Target_Induced_A,28.79,R4
Treatment_C,Target_Induced_A,28.91,R4
Treatment_C,Target_Induced_A,29.03,R4
Treatment_C,Target_Repressed_B,27.29,R4
Treatment_C,Target_Repressed_B,27.41,R4
Treatment_C,Target_Repressed_B,27.53,R4
Treatment_C,Target_Graded,26.29,R4
Treatment_C,Target_Graded,26.41,R4
Treatment_C,Target_Graded,26.53,R4
Treatment_C,Target_TechCensor,29.79,R4
Treatment_C,Target_TechCensor,29.91,R4
Treatment_C,Target_TechCensor,30.03,R4
Treatment_C,Target_BioCensor,30.29,R4
Treatment_C,Target_BioCensor,30.41,R4
Treatment_C,Target_BioCensor,30.53,R4
Treatment_C,Target_ReferenceCensor,30.79,R4
Treatment_C,Target_ReferenceCensor,30.91,R4
Treatment_C,Target_ReferenceCensor,31.03,R4
Treatment_C,Target_SampleAbsent,Undetermined,R4
Treatment_C,Target_SampleAbsent,Undetermined,R4
Treatment_C,Target_SampleAbsent,Undetermined,R4
Treatment_C,Target_TwoSamplesAbsent,No Ct,R4
Treatment_C,Target_TwoSamplesAbsent,No Ct,R4
Treatment_C,Target_TwoSamplesAbsent,No Ct,R4
Treatment_C,Target_AllAbsent,Undetermined,R4
Treatment_C,Target_AllAbsent,Undetermined,R4
Treatment_C,Target_AllAbsent,Undetermined,R4
Treatment_C,Target_HighCq,38.97,R4
Treatment_C,Target_HighCq,39.09,R4
Treatment_C,Target_HighCq,39.21,R4
Control,ACTB,20.41,R5
Control,ACTB,20.53,R5
Control,ACTB,20.65,R5
Control,TBP,21.31,R5
Control,TBP,21.43,R5
Control,TBP,21.55,R5
Control,Target_Stable,26.38,R5
Control,Target_Stable,26.50,R5
